genetree,Constrained_AU,absolute_delta,relative_AB,ABlength,splitscore,ABsplit,MAD_r2t
p0152,3.17E-55,1902.5,1.23907070645977,2.2142E-06,36.9,10.9,3.41206958970438
p0153,2.36E-38,739.34,2.03620694763606,2.4083E-06,28.7,4.2,2.25897419709214
p0154,1.03E-05,518.83,1.70731519626903,2.8033E-06,31.3,7.4,2.62044491522795
p0155,1.67E-36,840.69,1.23020052315178,0.0151659928,37.2,9.7,1.36912382878717
p0157,2.37E-05,1091,1.1739870409801,2.0763E-06,41,9,6.43137345464556
p0159,2.47E-55,5964.2,1.03879055856764,0.0041195274,52.3,12.8,2.33164203601237
p0160,2.72E-132,816.4,1.69140254910876,2.8913E-06,28.8,5.4,1.69716113668742
p0162,0.36,39.511,1.08900979084088,0.0065938218,16.4,5.5,1.46121496795864
p0163,0.219,81.033,1.37457256877999,0.0164231753,17.1,3.4,1.72079828973656
p0164,0.00048,464,1.18109414852182,2.2741E-06,40.6,5.7,2.24938159076373
p0166,1.41E-25,603.36,2.08667359257698,0.0300263439,17.6,3.8,2.29493967265918
p0167,1.45E-05,1423.6,1.60301521414706,2.0194E-06,46.3,12.4,2.03250595738393
p0168,0.0012,340.18,1.90158828399029,2.7513E-06,46.5,7.6,2.78911118793903
p0169,0.0328,294.32,2.090803524478,2.1591E-06,32.1,3.1,1.54827293557038
p0170,0.0786,147.36,1.17411413257592,2.7288E-06,44.3,5.6,1.22528357159738
p0171,1.11E-09,1468.6,1.88585748970735,2.4272E-06,36.8,9.3,1.50000277297614
p0172,0.0473,140.1,1.36978570379795,0.347897349,22.3,5.1,1.62632882537459
p0173,0.0366,212.73,1.21688346338968,2.157E-06,36.8,6.7,2.0811559386003
p0174,7.56E-05,3544.3,1.04138910525037,2.0797E-06,54.9,18.2,6.20275464288766
p0175,1.69E-44,708.57,1.20575727516956,2.4419E-06,31,9.9,1.58359419575684
p0176,0.797,134.62,1.16318904401082,2.5193E-06,20.5,4.5,1.30840962193837
p0177,2.52E-10,2391.7,1.11991647711022,2.266E-06,58.7,11,2.32306550982047
p0180,0.568,54.655,1.80212789730541,0.0055075612,25.1,3.7,1.35523601129088
p0181,2.26E-48,1646.9,1.15236171772653,2.6393E-06,64,18.7,2.22820239603513
p0182,0.534,4.7164,4.02580972422409,0.1923421187,29.9,2.2,1.24023011080688
p0183,0.0582,185.34,1.3241522571564,2.7376E-06,29.1,6.4,1.75272357981233
p0184,1.82E-58,1547.4,1.71108235228006,2.8342E-06,36.4,15.5,2.97450822365544
p0185,2.62E-60,1636.3,1.34174733316541,0.0060581877,40.2,13.1,2.72694618160429
p0187,0.0764,139.96,1.45974503345016,2.5037E-06,32.2,9.5,1.1463631911495
p0188,1.88E-08,575.26,2.48049047906286,2.7452E-06,32.3,6.7,1.64351726728558
