C60 Categories,Category frequencies,Matrix,Warning from IQ-TREE
45,0.004,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
46,0.006,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
47,0.012,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
48,0.008,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
49,0.015,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
50,0.003,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
51,0.031,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
52,0.006,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
53,0.013,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
54,0.02,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
55,0.006,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
56,0.023,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
57,0.003,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
58,0.004,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
59,0.009,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
60,0.033,Chang2015,The mixture model might be overfitting because some mixture weights are estimated close to zero
1,0.005,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
2,0.024,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
3,0.037,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
4,0.021,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
5,0.015,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
6,0.024,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
7,0.007,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
8,0.01,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
9,0.009,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
10,0.003,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
11,0.008,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
12,0.042,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
13,0.009,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
14,0.012,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
15,0.015,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
16,0,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
17,0.005,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
18,0.007,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
19,0.032,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
20,0.026,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
21,0.013,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
22,0.007,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
23,0.015,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
24,0.014,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
25,0.021,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
26,0.025,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
27,0.009,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
28,0.031,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
29,0.017,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
30,0.018,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
31,0.019,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
32,0.016,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
33,0.011,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
34,0.006,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
35,0.051,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
36,0.044,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
37,0.032,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
38,0.023,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
39,0.016,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
40,0.008,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
41,0.024,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
42,0.01,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
43,0.008,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
44,0.053,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
45,0.007,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
46,0.009,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
47,0.016,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
48,0.011,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
49,0.011,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
50,0.005,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
51,0.024,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
52,0.01,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
53,0.015,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
54,0.022,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
55,0.009,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
56,0.019,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
57,0.003,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
58,0.008,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
59,0.015,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
60,0.014,Dunn2008,The mixture model might be overfitting because some mixture weights are estimated close to zero
1,0.007,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
2,0.024,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
3,0.036,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
4,0.018,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
5,0.014,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
6,0.021,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
7,0.01,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
8,0.013,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
9,0.01,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
10,0.003,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
11,0.011,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
12,0.036,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
13,0.008,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
14,0.01,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
15,0.012,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
16,0,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
17,0.008,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
18,0.011,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
19,0.039,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
20,0.029,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
21,0.017,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
22,0.006,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
23,0.015,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
24,0.017,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
25,0.022,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
26,0.019,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
27,0.009,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
28,0.037,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
29,0.022,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
30,0.022,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
31,0.02,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
32,0.018,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
33,0.013,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
34,0.009,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
35,0.043,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
36,0.04,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
37,0.022,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
38,0.019,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
39,0.023,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
40,0.007,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
41,0.025,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
42,0.008,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
43,0.008,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
44,0.037,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
45,0.007,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
46,0.006,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
47,0.015,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
48,0.009,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
49,0.015,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
50,0.003,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
51,0.021,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
52,0.013,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
53,0.012,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
54,0.019,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
55,0.015,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
56,0.027,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
57,0.004,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
58,0.013,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
59,0.011,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
60,0.013,Hejnol2009_subsampled,The mixture model might be overfitting because some mixture weights are estimated close to zero
1,0.01,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
2,0.02,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
3,0.019,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
4,0.018,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
5,0.018,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
6,0.018,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
7,0.011,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
8,0.011,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
9,0.014,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
10,0.001,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
11,0.006,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
12,0.03,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
13,0.008,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
14,0.012,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
15,0.013,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
16,0,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
17,0.004,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
18,0.011,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
19,0.045,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
20,0.021,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
21,0.016,Moroz2014_3d,The mixture model might be overfitting because some mixture weights are estimated close to zero
