Theionarchaea-archaeon-DG-70
Thermoplasmatales-archaeon-SCGC-AB-539-N05
WOR-SM1-SCG-Alt-2
uncultured-marine-group-II-euryarchaeote
archaeon-GW2011-AR6
Ignicoccus-islandicus-DSM-13165
Aeropyrum-camini
Aeropyrum-pernix-K1
Acidilobus-saccharovorans
Fervidicoccus-fontis
Methanopyrus-KOL6
Methanopyrus-kandleri-AV19
Candidatus-Parvarchaeum-acidophilus-ARMAN-5
archaeon-GW2011-AR4
Candidatus-Diapherotrites-archaeon-CG11-big-fil-rev-8-21-14-0-20-37-9
archaeon-GW2011-AR13
Methanosarcina-barkeri-CM1
Methanosarcina-barkeri-Fusaro
Methanosarcina-spelaei
ANME-1-cluster-archaeon-ex4572-4
Candidatus-AltiArchaeales-ex4484-2
Candidatus-Korarchaeum-cryptofilum
Candidatus-Marsarchaeota-G1-archaeon-OSP-C
Candidatus-Marsarchaeota-G2-archaeon-BE-D
Candidatus-Nanopusillus-acidilobi
Candidatus-Parvarchaeum-acidiphilum-ARMAN-4
Cuniculiplasma-C-DKE
Methanocaldococcus-jannaschii
Methanosarcinales-archaeon-ex4484-138-GoM-Arcl
Methanothermobacter-marburgensis
Natronomonas-pharaonis-DSM-2160
Thaumarchaeota-archaeon-BS4
Thaumarchaeota-archaeon-SCGC-AB-539-E09
Woesearchaeon-DUSEL4
Methanothermococcus-thermolithotrophicus
Tkoda
Pfuri
Lmira
HAB125
HLC2
HLC3
OLCB4
TAB25
Kcryp
ThaumE09
ThE09
Ngarg
Nmari
Csymb
Csubt
CrenYNPFFA
Tpend
Paero
Cmaqu
Smari
Ihosp
Ssolf
Iaggr
Fervi
Hbuty
Apern
Mtherm
Mkand
Mjann
Mpalu
Mmaze
Mhung
Hvolc
Hmari
Afulg
TplN05
TpN05
UnEury2
Mlumi
Thvol
Aboon
311458
414004
436308
886738
1001994
859350
547559
469382
416348
519442
348780
797209
889948
889962
1072681
323259
521011
368407
410358
937775
192952
259564
349307
1110509
679901
304371
351160
1041930
224325
589924
572546
693661
439481
333146
263820
273116
273075
406327
419665
573063
243232
880724
187420
420247
339860
868132
523846
190192
593117
272844
391623
529709
523849
662762
662760
425595
228908
274854
272557
591019
415426
490899
453591
633148
583356
666510
694429
273057
273063
399549
330779
933801
671065
178306
340102
384616
397948
368408
572478
768679
374847
579137
